original_file,generated_file,original_width,original_height,original_channels,original_size_mb,original_status,generated_width,generated_height,generated_channels,generated_size_mb,generated_status,size_match,original_resolution,generated_resolution
TNTMEDIA-2552.jpg,TNTMEDIA-2552_catvton_00001_.png,3456,5184,3,0.78,OK,3456,5184,3,8.89,OK,True,3456x5184,3456x5184
TNTMEDIA-1188.jpg,TNTMEDIA-1188_catvton_00001_.png,4000,6000,3,1.27,OK,4000,6000,3,11.27,OK,True,4000x6000,4000x6000
TNTMEDIA-5.jpg,TNTMEDIA-5_catvton_00001_.png,4480,6720,3,1.85,OK,4480,6720,3,14.81,OK,True,4480x6720,4480x6720
TNTMEDIA-2525.jpg,TNTMEDIA-2525_catvton_00001_.png,3456,5184,3,0.99,OK,3456,5184,3,7.75,OK,True,3456x5184,3456x5184
TNTMEDIA-2522.jpg,TNTMEDIA-2522_catvton_00001_.png,3456,5184,3,0.8,OK,3456,5184,3,8.75,OK,True,3456x5184,3456x5184
TNTMEDIA-1051.jpg,TNTMEDIA-1051_catvton_00001_.png,4000,6000,3,1.33,OK,4000,6000,3,10.44,OK,True,4000x6000,4000x6000
TNTMEDIA-30.jpg,TNTMEDIA-30_catvton_00001_.png,4480,6720,3,1.44,OK,4480,6720,3,10.98,OK,True,4480x6720,4480x6720
TNTMEDIA-2563.jpg,TNTMEDIA-2563_catvton_00001_.png,3456,5184,3,0.84,OK,3456,5184,3,6.87,OK,True,3456x5184,3456x5184
TNTMEDIA-2550.jpg,TNTMEDIA-2550_catvton_00001_.png,3456,5184,3,0.8,OK,3456,5184,3,8.78,OK,True,3456x5184,3456x5184
TNTMEDIA-1049.jpg,TNTMEDIA-1049_catvton_00001_.png,4000,6000,3,1.01,OK,4000,6000,3,11.05,OK,True,4000x6000,4000x6000
TNTMEDIA-2519.jpg,TNTMEDIA-2519_catvton_00001_.png,5184,3456,3,0.91,OK,5184,3456,3,6.51,OK,True,5184x3456,5184x3456
TNTMEDIA-2561.jpg,TNTMEDIA-2561_catvton_00001_.png,3456,5184,3,0.86,OK,3456,5184,3,8.36,OK,True,3456x5184,3456x5184
TNTMEDIA-2535.jpg,TNTMEDIA-2535_catvton_00001_.png,3456,5184,3,0.72,OK,3456,5184,3,7.69,OK,True,3456x5184,3456x5184
TNTMEDIA-10.jpg,TNTMEDIA-10_catvton_00001_.png,4480,6720,3,1.46,OK,4480,6720,3,13.58,OK,True,4480x6720,4480x6720
TNTMEDIA-2548.jpg,TNTMEDIA-2548_catvton_00001_.png,3456,5184,3,0.83,OK,3456,5184,3,6.65,OK,True,3456x5184,3456x5184
TNTMEDIA-19.jpg,TNTMEDIA-19_catvton_00001_.png,4480,6720,3,1.41,OK,4480,6720,3,11.2,OK,True,4480x6720,4480x6720
TNTMEDIA-2505.jpg,TNTMEDIA-2505_catvton_00001_.png,3456,5184,3,0.79,OK,3456,5184,3,8.71,OK,True,3456x5184,3456x5184
TNTMEDIA-2526.jpg,TNTMEDIA-2526_catvton_00001_.png,5184,3456,3,0.89,OK,5184,3456,3,6.57,OK,True,5184x3456,5184x3456
TNTMEDIA-2510.jpg,TNTMEDIA-2510_catvton_00001_.png,2723,4085,3,0.58,OK,2723,4085,3,5.69,OK,True,2723x4085,2723x4085
TNTMEDIA-1054.jpg,TNTMEDIA-1054_catvton_00001_.png,4000,6000,3,1.01,OK,4000,6000,3,10.14,OK,True,4000x6000,4000x6000
TNTMEDIA-22.jpg,TNTMEDIA-22_catvton_00001_.png,4480,6720,3,1.42,OK,4480,6720,3,11.81,OK,True,4480x6720,4480x6720
TNTMEDIA-15.jpg,TNTMEDIA-15_catvton_00001_.png,4480,6720,3,1.48,OK,4480,6720,3,11.77,OK,True,4480x6720,4480x6720
TNTMEDIA-1197.jpg,TNTMEDIA-1197_catvton_00001_.png,4000,6000,3,1.23,OK,4000,6000,3,10.36,OK,True,4000x6000,4000x6000
TNTMEDIA-2574.jpg,TNTMEDIA-2574_catvton_00001_.png,3456,5184,3,0.85,OK,3456,5184,3,8.58,OK,True,3456x5184,3456x5184
TNTMEDIA-2559.jpg,TNTMEDIA-2559_catvton_00001_.png,3456,5184,3,0.81,OK,3456,5184,3,7.4,OK,True,3456x5184,3456x5184
TNTMEDIA-1161.jpg,TNTMEDIA-1161_catvton_00001_.png,3799,5698,3,1.14,OK,3799,5698,3,9.43,OK,True,3799x5698,3799x5698
TNTMEDIA-2518.jpg,TNTMEDIA-2518_catvton_00001_.png,3456,5184,3,0.82,OK,3456,5184,3,8.45,OK,True,3456x5184,3456x5184
TNTMEDIA-2521.jpg,TNTMEDIA-2521_catvton_00001_.png,3456,5184,3,0.85,OK,3456,5184,3,6.97,OK,True,3456x5184,3456x5184
TNTMEDIA-2551.jpg,TNTMEDIA-2551_catvton_00001_.png,2967,4451,3,0.55,OK,2967,4451,3,6.86,OK,True,2967x4451,2967x4451
TNTMEDIA-2523.jpg,TNTMEDIA-2523_catvton_00001_.png,5184,3456,3,0.89,OK,5184,3456,3,6.64,OK,True,5184x3456,5184x3456
TNTMEDIA-1170.jpg,TNTMEDIA-1170_catvton_00001_.png,4000,6000,3,1.19,OK,4000,6000,3,8.61,OK,True,4000x6000,4000x6000
TNTMEDIA-2507.jpg,TNTMEDIA-2507_catvton_00001_.png,5184,3456,3,0.84,OK,5184,3456,3,6.31,OK,True,5184x3456,5184x3456
TNTMEDIA-1194.jpg,TNTMEDIA-1194_catvton_00001_.png,4000,6000,3,1.25,OK,4000,6000,3,11.57,OK,True,4000x6000,4000x6000
TNTMEDIA-2536.jpg,TNTMEDIA-2536_catvton_00001_.png,3456,5184,3,0.82,OK,3456,5184,3,6.8,OK,True,3456x5184,3456x5184
TNTMEDIA-2546.jpg,TNTMEDIA-2546_catvton_00001_.png,3456,5184,3,0.84,OK,3456,5184,3,9.03,OK,True,3456x5184,3456x5184
TNTMEDIA-1.jpg,TNTMEDIA-1_catvton_00001_.png,4480,6720,3,1.43,OK,4480,6720,3,12.11,OK,True,4480x6720,4480x6720
TNTMEDIA-1201.jpg,TNTMEDIA-1201_catvton_00001_.png,4000,6000,3,1.39,OK,4000,6000,3,10.58,OK,True,4000x6000,4000x6000
TNTMEDIA-2573.jpg,TNTMEDIA-2573_catvton_00001_.png,3456,5184,3,0.82,OK,3456,5184,3,9.18,OK,True,3456x5184,3456x5184
TNTMEDIA-2504.jpg,TNTMEDIA-2504_catvton_00001_.png,3456,5184,3,0.94,OK,3456,5184,3,8.2,OK,True,3456x5184,3456x5184
TNTMEDIA-1199.jpg,TNTMEDIA-1199_catvton_00001_.png,4000,6000,3,1.34,OK,4000,6000,3,10.69,OK,True,4000x6000,4000x6000
TNTMEDIA-2570.jpg,TNTMEDIA-2570_catvton_00001_.png,3456,5184,3,0.85,OK,3456,5184,3,8.38,OK,True,3456x5184,3456x5184
TNTMEDIA-7.jpg,TNTMEDIA-7_catvton_00001_.png,4480,6720,3,1.37,OK,4480,6720,3,13.22,OK,True,4480x6720,4480x6720
TNTMEDIA-2562.jpg,TNTMEDIA-2562_catvton_00001_.png,3456,5184,3,0.89,OK,3456,5184,3,9.11,OK,True,3456x5184,3456x5184
TNTMEDIA-2537.jpg,TNTMEDIA-2537_catvton_00001_.png,3456,5184,3,0.84,OK,3456,5184,3,6.69,OK,True,3456x5184,3456x5184
TNTMEDIA-2547.jpg,TNTMEDIA-2547_catvton_00001_.png,3456,5184,3,0.81,OK,3456,5184,3,8.95,OK,True,3456x5184,3456x5184
